"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"CUS-001","Customer Registration with Mobile Number and OTP Verification","As a new user, I want to register for an account using my Indian mobile number and an OTP, so that I can securely create my user profile and begin browsing vendors and placing orders.","Story","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-08","8","8","backend,auth,customer,onboarding","Sprint 1","Establish Foundational Infrastructure and User Onboarding","Identity & Access Management","EPIC-01","Hyperlocal Delivery Service","","","NestJS,AWS Cognito,AWS SNS,Redis","Medium","Medium","Successful registration with new mobile number and OTP; Error on existing number; PII data consent captured.","Code reviewed; >80% test coverage; E2E tests passing; Security requirements met.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","100%","Frontend team for API contract","AWS SNS, AWS Cognito","E2E, Security, Performance","Deploys to Identity & Access service.","Enables new user acquisition, a critical step for platform growth."
"CUS-002","Customer Registration Error for Existing Number","As a prospective customer, I want to be shown an error message when I use a mobile number that is already in the system, so that I understand I already have an account and can log in instead.","Story","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-08","2","2","backend,auth,customer,onboarding,error-handling","Sprint 1","Establish Foundational Infrastructure and User Onboarding","Identity & Access Management","EPIC-01","Hyperlocal Delivery Service","CUS-001","CUS-001,CUS-003","NestJS,API Design","Low","Low","System displays a specific error for a duplicate number; User is provided a direct path to the login screen.","Code reviewed; >80% test coverage; E2E tests passing; Security requirements met.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","100%","Frontend team for UI implementation","","E2E, Security","Deploys to Identity & Access service.","Prevents duplicate accounts and improves user onboarding experience."
"ADM-001","Admin Views Pending Vendor and Rider Registrations","As an Administrator, I want to view a clear, filterable, and sortable list of all pending vendor and rider registration applications, so that I can efficiently manage the queue of new applicants.","Story","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-08","3","3","backend,admin,onboarding","Sprint 1","Establish Foundational Infrastructure and User Onboarding","Platform Administration","EPIC-02","Hyperlocal Delivery Service","","VND-001,RDR-001","NestJS,React,API Design","Low","Low","A paginated table of pending registrations is displayed; Admin can filter by user type (Vendor/Rider).","Code reviewed; >80% test coverage; E2E tests passing; Security requirements met.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","100%","Frontend team for admin dashboard UI","","E2E, Security","Deploys to Identity & Access service and Admin Dashboard.","Enables the vendor and rider onboarding workflow."
"ADM-002","Admin Reviews Registration Details and Documents","As an Administrator, I want to review all submitted details and uploaded documents for a specific pending registration, so that I can accurately verify the applicant's credentials.","Story","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-08","3","3","backend,admin,onboarding,security","Sprint 1","Establish Foundational Infrastructure and User Onboarding","Platform Administration","EPIC-02","Hyperlocal Delivery Service","ADM-001","ADM-001,VND-001,RDR-001","NestJS,React,AWS S3","Medium","Medium","Admin can view all submitted details for Vendor and Rider; Admin can view/download uploaded documents via secure, pre-signed URLs.","Code reviewed; >80% test coverage; E2E tests passing; Security requirements met for document access.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","100%","Frontend team for UI","AWS S3","E2E, Security","Requires S3 bucket for documents to be configured.","Ensures platform integrity and safety by thoroughly vetting all partners."
"ADM-003","Admin Approves a Vendor or Rider Registration","As an Administrator, I want to approve a verified vendor or rider registration with a single action, so that I can efficiently onboard them to the platform and grant them operational access.","Story","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-08","3","3","backend,admin,onboarding,workflow","Sprint 1","Establish Foundational Infrastructure and User Onboarding","Platform Administration","EPIC-02","Hyperlocal Delivery Service","ADM-002","ADM-001,ADM-002,VND-001,RDR-001","NestJS,React,PostgreSQL","Medium","Low","Admin can approve a pending registration; User's status changes to 'active'; Notification is sent; Action is logged in audit trail.","Code reviewed; >80% test coverage; E2E tests passing; Security requirements met.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","100%","Frontend team for admin UI","","E2E, Security","Deploys to Identity & Access service.","Enables growth of the vendor/rider network, a core business function."
"ADM-004","Admin Rejects a Vendor or Rider Registration with a Reason","As an Administrator, I want to reject a pending vendor or rider registration and provide a specific reason, so that I can maintain platform quality and inform the applicant.","Story","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-08","5","5","backend,admin,onboarding,workflow","Sprint 1","Establish Foundational Infrastructure and User Onboarding","Platform Administration","EPIC-02","Hyperlocal Delivery Service","ADM-002","ADM-001,ADM-002,VND-001,RDR-001","NestJS,React,PostgreSQL","Medium","Low","Admin can reject a registration with a predefined or custom reason; User's status is updated to 'rejected'; Notification is sent; Action is logged.","Code reviewed; >80% test coverage; E2E tests passing; Security requirements met.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","100%","Frontend team for admin UI","","E2E, Security","Deploys to Identity & Access service.","Ensures platform integrity by onboarding only verified users."
"ADM-021","Admin Views Searchable and Immutable Audit Trail","As an Administrator, I want to view a searchable and filterable audit trail of all significant actions performed within the admin system, so that I can ensure accountability and investigate security incidents.","Story","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-08","8","8","backend,admin,security,audit","Sprint 1","Establish Foundational Infrastructure and User Onboarding","Platform Administration","EPIC-02","Hyperlocal Delivery Service","","ADM-003,ADM-004","NestJS,PostgreSQL,React","Medium","Medium","Admin can view audit trail; Can filter by date, actor, and action type; Audit trail is immutable from the UI.","Code reviewed; >80% test coverage; E2E tests passing; Security requirements met for immutability.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-10-28","2024-11-08","100%","All backend teams to integrate with audit service","","E2E, Security, Performance","Requires a dedicated, append-only table in the database.","Enhances platform security, compliance, and accountability."
"ADM-005","Admin Manages All Users via a Comprehensive Dashboard","As an Administrator, I want a comprehensive user management dashboard with robust search, filtering, and sorting capabilities, so that I can efficiently locate any user on the platform to monitor their status and perform necessary account management actions.","Story","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-22","5","5","backend,admin,user-management","Sprint 2","Complete User Onboarding and Core Profile Management","Platform Administration","EPIC-02","Hyperlocal Delivery Service","ADM-001","CUS-001,VND-001,RDR-001","NestJS,React,API Design","Medium","Low","Admin can view a paginated list of all users; Admin can search by name; Admin can filter by role and status; Admin can sort the list.","Code reviewed; >80% test coverage; E2E tests passing; API performance meets NFRs.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-11","2024-11-22","100%","Frontend team for admin UI","","E2E, Performance, Security","Requires database indexing for efficient searching and filtering.","Enables efficient platform administration and improves support response times."
"ADM-006","Admin Suspends a User Account","As an Administrator, I want to suspend a user's account and record a reason, so that I can temporarily revoke their access for policy violations.","Story","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-22","5","5","backend,admin,security,moderation","Sprint 2","Complete User Onboarding and Core Profile Management","Platform Administration","EPIC-02","Hyperlocal Delivery Service","ADM-005","ADM-005,ADM-021","NestJS,React,AWS Cognito,Event-Driven Architecture","Medium","Medium","Admin can suspend a user with a reason; User's status is updated to 'Suspended'; User's active sessions are invalidated; Action is logged in audit trail.","Code reviewed; >80% test coverage; E2E tests passing; Security requirements met.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-11","2024-11-22","100%","Frontend team for UI","AWS Cognito","E2E, Security","Requires robust session invalidation mechanism.","Enables effective platform moderation and enhances security."
"ADM-007","Admin Deactivates a User Account","As an Administrator, I want to deactivate a user's account through a secure, two-step confirmation process, so that I can permanently revoke their access to the platform.","Story","Sprint Backlog","High","backend.dev@company.com","product.owner@company.com","2024-11-22","5","5","backend,admin,security,user-management","Sprint 2","Complete User Onboarding and Core Profile Management","Platform Administration","EPIC-02","Hyperlocal Delivery Service","ADM-005","ADM-005,ADM-021","NestJS,React,AWS Cognito","Medium","Medium","Admin can deactivate a user via two-step confirmation; User's status is updated to 'deactivated'; Sessions are invalidated; Action is logged in audit trail.","Code reviewed; >80% test coverage; E2E tests passing; Security requirements met.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-11","2024-11-22","100%","Frontend team for UI","AWS Cognito","E2E, Security","Requires robust session invalidation mechanism.","Provides essential security and operational control."
